section,claim_or_metric,source_file,source_field_or_cell,generation_module,verification_status
6 Profiling,Top 50 composition 18 gold 18 palm oil 14 copper,data/outputs/top_ranked_corridors.csv,family_id counts,src/06_train_evaluate_models.py,recomputed
6 Profiling,45 of 50 queued rows are usable with caveat,data/outputs/top_ranked_corridors.csv,quality_status counts,src/06_train_evaluate_models.py,recomputed
6 Gold coverage,2 188 rows have unusable quantity,data/processed/corridor_product_year_panel.parquet,quantity_metric_ton missing,src/tbml_common.py,recomputed
6 Gold coverage,1 877 gold rows have unusable quantity,data/processed/corridor_product_year_panel.parquet,gold quantity missing,src/tbml_common.py,recomputed
6 Gold coverage,Excluded gold value is 0.04149% of gold value,data/processed/corridor_product_year_panel.parquet,gold missing-value share,dashboard/services/gold_coverage.py,recomputed
6 Gold coverage,14 eight-year routes lack usable quantity in all eight years,data/processed/corridor_product_year_panel.parquet,route-year calculation,dashboard/services/gold_coverage.py,recomputed
6 Gold coverage,Those routes carry USD 1000119,data/processed/corridor_product_year_panel.parquet,trade_value_usd sum,dashboard/services/gold_coverage.py,recomputed
7 Features,Feature list contains 22 model inputs,src/tbml_common.py,feature_columns,src/04_build_features.py,direct
7 Features,Robust z uses unscaled prior MAD and 0.05 fallback,src/tbml_common.py,build_features safe_mad,src/04_build_features.py,direct
7 Features,Same-year peers do not use future years,src/tbml_common.py,same_family_year_peer_percentile,src/04_build_features.py,direct
8 Scenarios,540 injected scenario rows,data/processed/scenario_split_manifest.json,scenario_row_count,src/05_build_scenarios.py,direct
8 Scenarios,108 positives and 72 hard negatives per split,data/processed/scenario_split_manifest.json,counts by split,src/05_build_scenarios.py,direct
8 Scenarios,Split years 2017-2020 2021-2022 2023-2024,configs/project.yml,split year lists,src/05_build_scenarios.py,direct
9 Rules,Weighted-sum component weights,configs/thresholds.yml,rules,src/06_train_evaluate_models.py,direct
9 Rules,Benchmark-consistency reduction capped at 0.15,configs/thresholds.yml,benchmark_consistency_credit,src/06_train_evaluate_models.py,direct
9 Rules,Data-quality reduction capped at 0.08,configs/thresholds.yml,quality_penalty_weight,src/06_train_evaluate_models.py,direct
9 Models,Logistic median imputation indicators scaling balanced class weight,src/06_train_evaluate_models.py,fit_models,scikit-learn pipeline,direct
9 Models,XGBoost selected parameters,data/outputs/xgboost_parameters.json,selected_parameters,src/06_train_evaluate_models.py,direct
9 Models,Isolation Forest uses 160 trees,data/outputs/model_bundle.joblib,model configuration,src/06_train_evaluate_models.py,direct
9 Hybrid,Selected blend is 75% XGBoost and 25% weighted sum,data/outputs/model_selection.json,selected_hybrid_challenger_weight,src/06_train_evaluate_models.py,direct
10 Evaluation,Validation hybrid precision@50 0.46,data/outputs/model_comparison.csv,validation all hybrid precision_at_k,src/06_train_evaluate_models.py,direct
10 Evaluation,Test hybrid precision@50 0.48,data/outputs/model_comparison.csv,test all hybrid precision_at_k,src/06_train_evaluate_models.py,direct
10 Evaluation,Test hybrid recall@50 0.2222,data/outputs/model_comparison.csv,test all hybrid recall_at_k,src/06_train_evaluate_models.py,direct
10 Evaluation,Test hybrid lift@50 26.8133,data/outputs/model_comparison.csv,test all hybrid lift_at_k,src/06_train_evaluate_models.py,direct
10 Evaluation,Test hybrid average precision 0.29785,data/outputs/model_comparison.csv,test all hybrid average_precision,src/06_train_evaluate_models.py,direct
10 Evaluation,Test hybrid hard-negative FPR 0.0,data/outputs/model_comparison.csv,test all hybrid hard_negative_false_positive_rate,src/06_train_evaluate_models.py,direct
10 Evaluation,Standalone XGBoost test precision@50 0.50,data/outputs/model_comparison.csv,test all xgboost precision_at_k,src/06_train_evaluate_models.py,direct
10 Evaluation,Global SHAP leaders are benchmark residual and benchmark consistency gap,data/outputs/shap_summary_values.csv,mean_abs_shap,src/06_train_evaluate_models.py,direct
11 Queue,Top 50 contains official observations only,data/outputs/top_ranked_corridors.csv,obs_id control,src/06_train_evaluate_models.py,tested
11 Queue,Rank 1 is 2022 Spain to Netherlands gold,data/outputs/top_ranked_corridors.csv,rank 1,src/06_train_evaluate_models.py,direct
12 Evidence,Every queued case has four evidence rows,data/outputs/evidence_table.csv,evidence rows per obs_id,src/07_build_evidence.py,recomputed
12 Evidence,Five deterministic briefs pass validation,data/outputs/brief_validation_report.csv,status,src/08_build_briefs.py,direct
13 Dashboard,Application entry point dashboard/streamlit_app.py,dashboard/streamlit_app.py,module path,Streamlit,direct
13 Dashboard,Selected case persists through session state,dashboard/services/session_state.py,tbml_selected_obs_id,Streamlit,direct
13 Dashboard,Required outputs fail visibly and optional outputs degrade transparently,dashboard/services/path_resolver.py,required flags,dashboard,direct
14 Deployment,Slim runtime uses six pinned packages,requirements.txt,file contents,Streamlit Community Cloud,direct
14 Deployment,Pipeline environment is separate,requirements-pipeline.txt,file contents,local pipeline,direct
15 Validation,157 tests pass,tests/,pytest run 23 July 2026,pytest,executed
15 Validation,Source hashes and counts pass,data/outputs/source_manifest.json,verification fields,src/01_verify_sources.py,direct
15 Validation,Five briefs pass all listed gates,data/outputs/brief_validation_report.csv,status,src/08_build_briefs.py,direct
16 Limitations,Global SHAP only,data/outputs/shap_summary_values.csv,no row-level output,src/06_train_evaluate_models.py,direct
17 Future state,Private bank integration is not implemented,dashboard/app_pages/bank_implementation_pathway.py,future-state disclaimer,dashboard,direct
